speech_id,date,speaker,borderline_vars,notes,inflation_attention,inflation_outlook,growth_attention,growth_outlook,financial_stability_attention,uncertainty_attention
ecb_0749,2007-06-28,José Manuel González-Páramo,,"Financial-stability assessment is the central topic; inflation/growth indicators are inputs/examples, not developed macro outlooks.",0,0,0,0,1,0
ecb_2209,2019-04-06,Yves Mersch,,Competitiveness/financial-markets speech develops potential growth structurally; no baseline cyclical outlook. Legal/business uncertainty is not macro uncertainty attention.,0,0,1,0,0,0
ecb_1450,2013-01-21,Benoît Cœuré,inflation_attention,Crisis dimensions and reforms: financial stability and growth are developed; explicit expectation that activity resumes upward trend. Inflation references are secondary.,0,0,1,1,1,0
ecb_2085,2018-03-09,Sabine Lautenschläger,financial_stability_attention,Cyber/operational resilience is excluded by the payments-and-operations boundary absent developed system-wide impairment/contagion analysis.,0,0,0,0,0,0
ecb_2087,2018-03-14,Benoît Cœuré,,"EMU reform speech develops growth/stabilisation and notes broad cyclical recovery; financial-market risk-sharing is structural, not financial-stability attention.",0,0,1,1,0,0
ecb_0999,2009-05-25,José Manuel González-Páramo,growth_outlook,Spanish crisis speech: severe recession and reduced inflation pressures dominate despite expected gradual 2010 recovery; financial-system stress and elevated macro uncertainty are central.,1,-1,1,-1,1,1
ecb_1043,2009-10-05,Gertrude Tumpel-Gugerell,uncertainty_attention,"Systemic-risk/network analysis is central. Uncertainty about loss location is part of a historical mechanism, not substantive economic-outlook uncertainty.",0,0,0,0,1,0
ecb_2653,2024-09-26,Christine Lagarde,,Macroprudential technology speech substantively addresses financial-system risk; macro references are incidental.,0,0,0,0,1,0
ecb_1295,2011-08-27,Jean-Claude Trichet,inflation_outlook,Long-term growth is central and forward emphasis is strengthening potential growth; inflation discussion is developed but not a clear current directional baseline. Near-Knightian uncertainty is emphasized.,1,0,1,1,0,1
ecb_0525,2005-05-23,José Manuel González-Páramo,growth_attention,"Inflation differentials are central but largely structural/descriptive, so neutral outlook. Growth/productivity is developed as mechanism, not baseline trajectory.",1,0,1,0,0,0
ecb_1459,2013-02-15,Mario Draghi,financial_stability_attention,Very short speech: proportional centrality supports growth attention and improving real/financial conditions. Financial stability is an explicit agenda object but borderline in depth.,0,0,1,1,1,0
ecb_2514,2022-10-11,Philip R. Lane,growth_outlook,2022 transmission speech: inflation is elevated but expected to decelerate as supply shocks fade and demand slows; financial-stability repricing risk and monetary-policy uncertainty are substantive.,1,-1,1,-1,1,1
ecb_2021,2017-09-25,Yves Mersch,inflation_attention,Risk-management speech substantively discusses declining inflation as rationale for non-standard policy and financial-stability effects; no developed activity outlook.,1,-1,0,0,1,0
